feature,importance_mean,importance_std
num_docs,0.15840052574343105,0.03426374479137473
condemn_ratio,0.04063905844421517,0.02477342160958156
peace_ratio,0.03683256043102906,0.02447551493099008
peace_ratio_lag1,0.025780394710059905,0.03313865878901143
tone_support_score,0.024474650084547057,0.01288155123937244
war_ratio,0.017057618904460736,0.013032366596349335
condemn_ratio_lag1,0.015062117499331552,0.022119429234349095
economy_frame_ratio_lag1,0.0089483664799342,0.00869304766526312
tone_support_score_lag1,0.005353264336180186,0.026498692497435205
support_ratio_lag1,0.0010990811899153075,0.010482202739019056
economy_frame_ratio,-0.00019672735494825623,0.00890722277297451
num_docs_lag1,-0.0008667623522045975,0.005795073095481224
humanrights_frame_ratio,-0.0043324382545440465,0.014988243572356884
security_frame_ratio,-0.004652701826384243,0.011690701718631225
war_ratio_lag1,-0.006393048157071579,0.0037606385396852307
support_ratio,-0.014979237193660688,0.010596815628129173
security_frame_ratio_lag1,-0.019107989916569534,0.00654473480617118
humanrights_frame_ratio_lag1,-0.022766451945059253,0.020295035436070044
